personalid,ESNights,ES,TransitionalHousing,PH,StreetOutReach,ServicesOnly,Other,SafeHaven,PH-NoDis,HomelessPrev,PHRapid,CoordinatedAsses,Usage Cluster
6751,7.0,1.0,,,2.0,,1.0,,,,,,Very Low Use
6795,,,,,,1.0,,,,,,1.0,Very Low Use
6893,1.0,1.0,,,3.0,,,,,,1.0,,Very Low Use
6952,,,,,1.0,,,,,,,1.0,Very Low Use
6995,97.0,3.0,,,,,,,,,,,Medium Use
7033,,,,,,,,,,,1.0,1.0,Very Low Use
7076,250.0,249.0,,,,1.0,,,,,,,Very High Use
7092,47.0,37.0,,,,2.0,,,,,,,Medium Use
7181,1.0,1.0,1.0,,,,,,,,,2.0,Very Low Use
7193,,,,,1.0,,,,,,,,Very Low Use
7259,,,,1.0,,,,,,,,,Very Low Use
7260,95.0,1.0,,,,,,,,,,,Medium Use
7311,172.0,2.0,,,,1.0,2.0,,,,,2.0,High Use
7331,8.0,2.0,,,,,,,,,,3.0,Very Low Use
7336,250.0,249.0,,,2.0,1.0,,,,,,,Very High Use
7337,,,,,1.0,,,,,,,,Very Low Use
7384,,,,,,,1.0,,,,,,Very Low Use
7392,12.0,1.0,,,,,,,,,,,Very Low Use
7396,,,,1.0,,,,,,,,,Very Low Use
7414,,,,,1.0,,,,,,,,Very Low Use
7432,,,,,1.0,,,,,,,2.0,Very Low Use
7449,41.0,2.0,,,,1.0,,,,,,2.0,Low Use
7486,69.0,9.0,,,,,1.0,,,,1.0,1.0,Low Use
7494,2.0,2.0,,,,,,,,,,,Very Low Use
7495,2.0,2.0,,,,,,,,,,,Very Low Use
7535,,,,,,,,,,,,1.0,Very Low Use
7550,,,,,,,1.0,,,,,,Very Low Use
7570,1.0,1.0,,,,,,,,,,,Very Low Use
7582,,,,,,,,,,,,1.0,Very Low Use
7641,,,1.0,,,,1.0,,,,,,Very Low Use
7654,1.0,1.0,,,,,2.0,,,,,1.0,Very Low Use
7659,,,,,,,1.0,,,,,,Very Low Use
7673,,,,,,,1.0,,,,,,Very Low Use
7696,,,,,,,,,,,,1.0,Very Low Use
7726,120.0,1.0,,,,,1.0,,,,,1.0,Medium Use
7736,,,,,1.0,,,,,,,,Very Low Use
7745,157.0,1.0,,,,,,,,,,,Medium Use
7761,,,,1.0,,,,,,,,,Very Low Use
7776,,,,,,,,,,,,1.0,Very Low Use
7788,124.0,1.0,,,,,,,,,,1.0,Medium Use
7791,,,,,,1.0,,,,,,,Very Low Use
7792,12.0,2.0,,,,,,,,,,1.0,Very Low Use
7822,,,,1.0,,,,,,,,,Very Low Use
7824,,,,1.0,,,,,,,,,Very Low Use
7906,,,,,,,1.0,,,,,,Very Low Use
