"personalid","projecttype_1_bednights","projecttype_1_count","projecttype_2_count","projecttype_3_count","projecttype_4_count","projecttype_6_count","projecttype_7_count","projecttype_8_count","projecttype_10_count","projecttype_12_count","projecttype_13_count","projecttype_14_count"
9225,72,5,,,,1,3,,,,,1
9230,,,,,1,,,,,,,
9279,25,1,,,2,,,,,,,1
9285,2,2,,,,,,,,,,
9329,,,,,,,,,,,,1
9340,1,1,,,,,1,,,,,
9369,,,,,,,,,,,,1
9387,,,,,2,,,,,,1,1
9414,1,1,,,1,,,,,,,1
9418,,,,,1,,1,,,,,1
9497,12,4,,1,,1,,,,,,
9512,,,1,,,,,,,,1,3
9521,,,,,1,,,,,,,
9563,105,3,,,,2,,,,,,1
9572,82,3,,,,1,1,,,,,1
9634,127,2,,,1,1,,,,,,1
9637,,,,,,,,,,,,1
9712,,,,,,,2,,,,,
9743,,,,,,,1,,,,,
9815,88,1,,,,,,,,,1,1
9818,1,1,,,,,,,,,,
9823,,,,,,,,,,,,1
9835,,,,,1,,,,,,,
9890,1,1,,,1,,1,,,,,1
9931,,,,,,,1,,,,,1
9933,4,1,,1,,,2,,,,,2
10016,,,,,,,1,,,,,1
10046,48,48,,,,,,,,,,
10069,8,8,,,,,,,,,,
10080,188,151,,,1,,1,,,,,1
10087,,,,,,,,,,,,1
10098,,,,,,1,,,,,,
10100,,,1,,1,1,,,,,,
10102,,,,,,1,,,,,,
10103,,,,,,1,,,,,,
10105,,,,,,1,,,,,,
10127,,,,1,,,,,,,,
10128,1,1,,,,,1,,,,,
10131,111,5,,,1,,4,,,,1,
10138,,,,,2,,,,,,,
10164,,,,1,2,,,,,,,1
10293,341,253,,,,,1,,,,1,
10327,170,1,,,,1,,,,,1,2
10363,2,2,,,,,,,,,,1
10374,102,2,,,,,,,,,,1
10401,19,2,,,,,,,,,1,1
10479,94,4,,1,3,,1,,,,,2
10485,,,,,,,,,,,,1
10539,77,1,1,,2,,1,,,,,1
10571,61,5,,,,,,,,,,
10681,,,,,,1,,,,,,
10712,,,,,2,,,,,,,
10724,,,,,,,,,,,,1
10742,45,5,,1,2,,,,,,,1
10759,,,,,,,,,,,,1
10792,,,,,,,,,,,,1
10846,,,,,2,,,,,,,1
10941,,,,,,,,,,,,2
10982,12,1,,1,,,,,,,,2
10983,,,,,,,,,,,,2
11017,69,4,,,,1,,,,,,1
11021,51,25,,,,,6,,,,,1
11035,94,3,,,,2,,,,,,1
11050,,,,1,,,,,,,,1
11067,,,,,1,,,,,,,
11095,127,119,,,,,,,,,,1
11130,19,14,,,1,,1,,,,,1
11136,95,94,,,2,1,2,,,,,1
11137,15,1,,,,,,,,,1,1
11192,,,,,1,,,,,,,1
11193,,,,,,,2,,,,,2
11195,25,2,,,,1,1,,,,1,2
11217,,,,,,,,,,,,1
11238,,,,,1,,,,,,,
11298,2,1,,,,,,,,,,
11307,2,2,1,,1,,,,,,,1
11342,70,9,,,,,,,,,,
11455,30,1,,,,,1,,,,,1
11463,,,,,,,,,,,,1
11468,48,5,,,2,1,2,,,,,2
11596,,,,,,,,,,,,1
